id	nk	ref_sk	hyp_sk	whole_chrF3	dialect_specific_chrF3	dialect_invariant_chrF3	combined_dialect_aware_chrF3	ref_dialect_spans	hyp_dialect_spans	ref_invariant	hyp_invariant
1	열린 창문으로 손을 디밀어 창가림을 치고 안을 들여다볼수 있을만큼 틈새를 남겨놓았소.	열린 창문으로 손을 디밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	열린 창문으로 손을 내밀어 커튼을 치고 안을 들여다볼 수 있을 만큼 틈새를 남겨 놓았소.	92.33	95.53	100.0	98.08	디 커튼 들여다볼 수 있을 만큼 남겨 놓았소.	내 커튼 들여다볼 수 있을 만큼 남겨 놓았소.	열린 창문으로 손을밀어을 치고 안을틈새를	열린 창문으로 손을밀어을 치고 안을틈새를
2	밤에 초불을 켜둔다는것은 위험한 일이에요!	밤에 촛불을 켜둔다는 것은 위험한 일이에요!	밤에 초불을 켜둔다는것은 위험한 일이에요!	68.86	39.96	100.0	79.99	촛 켜둔다는 것은	초 켜둔다는것은	밤에불을위험한 일이에요!	밤에불을위험한 일이에요!
3	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 외쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게 웨쳤습니다.	86.32	0.0	100.0	96.55	외	웨	그리고 이사야는 이스라엘에 관해서 이렇게쳤습니다.	그리고 이사야는 이스라엘에 관해서 이렇게쳤습니다.
4	푸께는 너무 일찌기 소원이 이루어졌다고 생각할만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러번 있었지만 알고보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고있었다는것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 여자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 여자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	푸께는 너무 일찍 소원이 이루어졌다고 생각할 만큼 녀자의 사랑을 받고 행복을 느낀 일이 여러 번 있었지만 알고 보면 그 녀자는 번번이 다른 남자에게도 사랑을 보내고 있었다는 것이다.	92.83	79.17	100.0	93.61	찍 생각할 만큼 여 여러 번 알고 보면 여 보내고 있었다는 것이다.	찍 생각할 만큼 녀 여러 번 알고 보면 녀 보내고 있었다는 것이다.	푸께는 너무 일소원이 이루어졌다고자의 사랑을 받고 행복을 느낀 일이있었지만그자는 번번이 다른 남자에게도 사랑을	푸께는 너무 일소원이 이루어졌다고자의 사랑을 받고 행복을 느낀 일이있었지만그자는 번번이 다른 남자에게도 사랑을
5	나는 요우에 깐 하불밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 이불 밖으로 내민 그의 손을 잡았다.	나는 요 위에 깐 하불 밖으로 내민 그의 손을 잡았다.	86.84	45.65	100.0	85.51	위 이불 밖으로	위 하불 밖으로	나는 요에 깐내민 그의 손을 잡았다.	나는 요에 깐내민 그의 손을 잡았다.
6	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고있었지만 얼마 안가서 이 젊은이의 그릇된 견해를 조금씩 고쳐주는데 더 흥미를 느끼게 되였다.	처음에는 쥴리앙의 우스꽝스러운 점을 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	처음에는 쥴리앙의 우습강스런데를 적당히 대하며 심심풀이로 삼고 있었지만 얼마 안 가서 이 젊은이의 그릇된 견해를 조금씩 고쳐 주는 데 더 흥미를 느끼게 되었다.	88.48	75.28	100.0	92.94	꽝스러운 점을 삼고 있었지만 안 가서 고쳐 주는 데 었	습강 런데를 삼고 있었지만 안 가서 고쳐 주는 데 었	처음에는 쥴리앙의 우스적당히 대하며 심심풀이로얼마이 젊은이의 그릇된 견해를 조금씩더 흥미를 느끼게 되다.	처음에는 쥴리앙의 우스적당히 대하며 심심풀이로얼마이 젊은이의 그릇된 견해를 조금씩더 흥미를 느끼게 되다.
7	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팡이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지팽이를 들어 땅의 먼지를 치라고 일러라.	87.31	0.0	100.0	96.77	팡	팽	너는 아론에게 지이를 들어 땅의 먼지를 치라고 일러라.	너는 아론에게 지이를 들어 땅의 먼지를 치라고 일러라.
8	또 번제로 드릴 수양을 끌어오게 하였다.	또 번제로 드릴 숫양을 끌어오게 하였다.	또 번제로 드릴 수양을 끌어오게 하였다.	81.13	0.0	100.0	95.45	숫	수	또 번제로 드릴양을 끌어오게 하였다.	또 번제로 드릴양을 끌어오게 하였다.
9	처음에는 어째서 그렇게 수집어하였을가?	처음에는 어째서 그렇게 수줍어하였을까?	처음에는 왜 그렇게 수집어하였을까?	49.72	12.27	100.0	79.11	어째서 줍 까	왜 집 까	처음에는그렇게 수어하였을?	처음에는그렇게 수어하였을?
10	존의 안해가 문을 열었다.	존의 아내가 문을 열었다.	존의 안해가 문을 열었다.	63.05	0.0	100.0	85.71	아내	안해	존의가 문을 열었다.	존의가 문을 열었다.
11	래일 일을 자랑하지 말아라.	내일 일을 자랑하지 말아라.	래일 일을 자랑하지 말아라.	91.85	0.0	100.0	93.33	내	래	일 일을 자랑하지 말아라.	일 일을 자랑하지 말아라.
12	나는 걸상을 뛰여넘기도 하고 책상밑으로 기여나가기도 하면서 난로옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기어나가기도 하면서 난로 옆까지 갔다.	나는 걸상을 뛰어넘기도 하고 책상 밑으로 기여나가기도 하면서 난로 옆까지 갔다.	91.38	74.1	100.0	91.76	어 책상 밑으로 어 난로 옆까지	어 책상 밑으로 여 난로 옆까지	나는 걸상을 뛰넘기도 하고기나가기도 하면서갔다.	나는 걸상을 뛰넘기도 하고기나가기도 하면서갔다.
13	아침이 되여 날이 밝았을때 그들은 모두 시체로 발견되였다.	아침이 되어 날이 밝았을 때 그들은 모두 시체로 발견되었다.	아침이 되여 날이 밝았을 때 그들은 모두 시체로 발견되었다.	88.17	83.41	100.0	96.48	어 밝았을 때 었	여 밝았을 때 었	아침이 되날이그들은 모두 시체로 발견되다.	아침이 되날이그들은 모두 시체로 발견되다.
